,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
10294,885,1,3,2,2,캐나다, ,6,9,9, , ,1,6, , , ,혼자,1,개별여행,21,5,5,5,5,5,5,5,5,3,3,5,4,4,5,5,1, ,8, , , , , , , , ,7,2,5, , , , , ,1, ,3, , ,6,7, , , ,96,4,1,16,1,2,업무수행,1,1, , ,8, , ,4385.580212,4385.580212,0.0
10295,886,1,3,3,2,캐나다, ,10,9,9, , ,1,6, , , ,혼자,1,개별여행,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, ,4, , , , , , ,14, , , , , , , , , , , ,2, , , ,6, , , , ,76,22, ,16, , ,업무수행,1,1, , ,1, , ,1060.0,800.0,260.0
10298,889,1,4,3,2,캐나다, ,20,9,9, , ,3,6, , , ,혼자,1,개별여행,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5, , , , , , , , , , , ,7, , , , , , , , , , , , ,6, , , , ,136, , ,16,1,2,쇼핑,1,1,9, ,18, , ,1009.125,726.57,282.555
10310,903,2,0,2,8,캐나다, ,5,9,2,3,6,6,7, , , ,혼자,1,개별여행,30,5,3,5,3,5,4,5,5,4,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,17,8,17,18,7,고궁/역사유적지방문,5,3,7,10,4,6,10,1009.125,484.38,524.745
10311,905,2,4,3,2,캐나다, ,1,9,2,3, ,1,7, , , ,가족/친지,29,단체여행,7,5,5,4,4,5,4,5,5,3,5,5,4,5,4,5,1, , , , , , , , , , , , ,5, , , , , ,1, , , , , ,7, , , ,136,3,107,20,18,17,자연경관감상,1,8,9,10,4,14,18,484.38,0.0,484.38
10506,1860,2,4,1,9,캐나다, ,2,9,2,4,3,3,1,1,8,11,가족/친지,2,개별여행,5,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5, , , , , , , , , , , , ,2, , , ,16, , , , , , , ,6, ,8, , ,125,128,134,4,18,2,휴양/휴식,1,1,3,9,4,5,10,2043.680379,1447.24147,596.4389089
10976,492,1,5,3,2,캐나다, ,2,10,3,2, ,1,6, , , ,혼자,1,개별여행,8,4,3,4,4,3,9,4,3,3,3,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,3,2,1,19,18,17,공연/민속행사/축제참가관람,1,12, , ,21, , ,1553.2,1553.2,0.0
10977,493,1,1,1,4,캐나다, ,2,10,3,4,6,10,5, , , ,혼자,1,개별여행,54,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,16,6,11,18,17,레포츠활동,4,4,5,6,4,7,15,617.0064609,0.0,617.0064609
10997,519,1,3,2,7,캐나다, ,1,10,4,3,2,5,6, , , ,직장동료,31,개별여행,9,4,4,5,4,4,3,4,4,2,4,5,4,4,2,4, , , , , , , , , , , , , ,5, , , , , , , , , , , ,7, , , ,136, , ,16,1,17,업무수행,1,9,10, ,4,5,10,667.876,621.28,46.596
11015,541,1,4,3,2,캐나다, ,25,10,3,4,2,1,6, , , ,혼자,1,개별여행,8,4,4,4,3,2,9,2,3,2,3,4,3,3,5,4, , , , , , , , , ,15, , , , , , , , , , , , , , ,6, , , , ,79, , ,16,17,9,테마파크,1,12, , ,21, , ,1786.18,1786.18,0.0
