,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
718,834,2,1,3,8,독일, ,2,6,3,4,6,9,7, , , ,친구/연인,2,개별여행,84,4,5,4,3,4,4,3,4,2,4,5,5,5,3,5,1, ,8,9,6, , , , , , , ,2, , ,13,16, , ,1, ,3,4,5,6,7,8, , ,115,50,136,11,7,14,자연경관감상,2,4,5,6,12, , ,2242.6,1121.3,1121.3
719,936,1,3,2,3,독일, ,4,6,2, , ,2,6, , , ,혼자,1,개별여행,4,4,3,4,4,4,3,3,3,2,3,5,4,4,5,5,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,22,41, ,16,14, ,업무수행,1,10, , ,10, , ,665.7148,262.7821623,402.9326489
739,700,1,2,3,7,독일, ,2,11,3, , ,7,1,9,10, ,친구/연인,5,개별여행,2,4,4,2,4,4,9,4,4,4,4,4,3,3,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,2,7, ,식도락,1,12, , ,21, , ,384.021,267.651,116.37
847,55,2,2,2,3,독일, ,2,12,3,2, ,7,1,9,12,4,혼자,1,개별여행,2,4,2,5,5,5,5,4,5,5,3,5,5,5,5,5, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,22, , ,1, , ,쇼핑,1,1,9, ,5,9,10,178.335,118.89,59.445
916,363,2,3,2,7,독일, ,2,5,3,2,4,5,1,1,12,4,혼자,1,개별여행,9,5,5,5,5,3,4,5,4,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,136,14,16,18,11, ,레포츠활동,4,9, , ,14, , ,191.173,0.0,191.1730203
931,245,1,0,2,8,독일, ,1,8,3, , ,4,1,16,1,2,가족/친지,2,개별여행,7,5,5,5,4,4,5,5,5,5,3,4,4,5,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,16,8,1,18,17,1,자연경관감상,2,4,5,10,4,9,10,360.205,183.055,177.15
961,968,1,3,4,2,독일, ,10,1,9, , ,1,6, , , ,혼자,1,개별여행,3,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,29, , ,16, , ,업무수행,1,3, , ,15, , ,365.5059821,284.2824305,81.22355158
995,427,1,2,2,5,독일, ,1,9,5,3,2,4,6, , , ,혼자,1,개별여행,79,1,5,2,5,4,2,3,1,1,3,5,5,1,1,1,1,4,8, , , , , , , , , , , , , ,16, , ,1,2,3, , , , ,8, , ,29,2,125,16,7,20,유흥.오락,1,1,8, ,18, , ,22980.44031,17542.32085,5438.119463
1000,1,1,1,3,3,독일, ,1,10,2,3, ,4,6, , , ,직장동료,2,개별여행,8,5,4,5,4,3,9,5,4,3,3,4,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,20,10,16,20,22,고궁/역사유적지방문,1,12, , ,21, , ,3491.1,3491.1,0.0
1017,685,1,3,2,1,독일, ,3,2,2, , ,2,6, , , ,직장동료,2,개별여행,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , ,22,16, ,업무수행,1,12, , ,21, , ,950.5542071,950.5542071,0.0
