,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
446,1391,2,4,2,2,프랑스, ,1,1,9, , ,2,6, , , ,가족/친지,2,개별여행,3,4,4,4,5,4,9,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16,15, ,미팅/회의/학술대회/박람회참가,1,12, , ,21, , ,100305.0,89160.0,11145.0
450,1417,2,1,2,4,프랑스, ,2,1,3,2, ,8,1,1,3, ,친구/연인,2,개별여행,20,5,3,4,4,5,4,4,4,5,3,5,4,4,5,5,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,1,133,97,18,19,20,자연경관감상,2,5,7,8,4,6,16,324.8942063,235.5482996,89.34590674
455,2149,1,4,2,5,프랑스, ,2,2,3, , ,2,6, , , ,혼자,1,개별여행,3,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20,7, ,16, , ,업무수행,1,1, , ,10, , ,84.87091134,0.0,84.87091134
473,1836,1,2,3,3,프랑스, ,1,3,3,2, ,3,1,1,3,4,친구/연인,2,개별여행,6,4,4,4,5,5,4,3,3,4,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,97,9,17,18,1,고궁/역사유적지방문,1,1,3,9,5,10,12,1262.28,525.95,736.33
484,1836,1,4,2,2,프랑스, ,1,4,3,1,4,6,1,11,3,7,친구/연인,12,단체여행,6,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,1, ,8, , , , , , , , , ,2, , , , , , ,1, ,3, , ,6, , , , ,1,96,8,22,18,2,전통문화체험,1,1,9, ,1,8,18,2877.66,1065.8,1811.86
485,1838,2,4,3,10,프랑스, ,1,4,1,3,4,6,1,3,1,2,친구/연인,12,단체여행,8,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,1, ,8, , , , , , , , , ,2, , , , , , ,1, ,3, , ,6, , , , ,6,99,101,18,22,17,자연경관감상,1,9, , ,1,8,18,2664.5,0.0,2664.5
495,1836,1,3,2,3,프랑스, ,1,5,3,1,4,5,1,1,3,9,가족/친지,2,개별여행,5,4,5,5,4,4,4,5,5,5,4,4,4,5,4,4, , , , , , , , , , , , ,2, , , ,16, , , , , , , ,6, ,8, , ,134,127,96,4,18,2,자연경관감상,1,9, , ,3,10,18,1745.28,545.4,1199.88
505,1836,2,3,2,4,프랑스,2,1,6,3, , ,4,1,8,1,10,친구/연인,2,개별여행,6,3,4,3,3,4,4,4,2,2,3,3,3,3,3,3,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,16,19,14,18,17,2,자연경관감상,2,9, , ,10,19, ,970.0,300.0,670.0
506,1837,1,1,2,4,프랑스, ,1,6,3,4,1,4,1,7,12,9,친구/연인,2,개별여행,4,5,4,4,5,5,4,4,4,4,5,5,4,4,4,5,1, , , , , , , , , , ,7,2, , , , , , ,1, , , , ,6, , , , ,4,96,1,17,21,2,고궁/역사유적지방문,2,4,9, ,3,13,18,784.91,0.0,784.91
515,1836,1,1,2,2,프랑스, ,1,7,3,1,2,3,1,7,9,11,친구/연인,2,개별여행,5,5,4,4,4,5,5,4,4,4,4,5,4,5,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,8,12,18,17,2,자연경관감상,1,9, , ,4,6,18,818.568,568.45,250.118
528,1836,2,4,1,9,프랑스, ,1,8,3,2,4,2,1,16,11,10,친구/연인,2,개별여행,4,5,5,4,4,4,5,5,4,4,4,4,4,5,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,96,2,22,4,18,전통문화체험,1,7,9, ,4,6,18,838.51,590.5,248.01
539,1044,2,5,3,3,프랑스, ,2,9,3,4,2,3,1,6,3,1,친구/연인,2,개별여행,8,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1, , , , , , , , , , ,7, , , , , , , ,1, , , , ,6, , , , ,9,1,5,1,2,20,쇼핑,2,7,8, ,4,6,10,392.832,0.0,392.832
543,1836,1,3,2,4,프랑스, ,1,9,4,3,5,4,1,1,3,9,혼자,1,개별여행,4,5,5,5,5,5,5,5,3,3,5,5,4,4,5,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,4,9,17,18,21,고궁/역사유적지방문,2,7,9, ,5,13,19,1021.840189,701.692834,320.1473555
551,1034,2, ,3,12,프랑스, ,2,10,1, , ,2,4,7,2,3,직장동료,4,개별여행,5,4,3,3,5,3,4,3,4,2,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,16,17,1,5,15,뷰티관광,1,1,3,7,1,5,10,2676.51,2327.4,349.11
556,1277,1,4,1,3,프랑스, ,1,10,3,4,1,3,1,16,11,9,혼자,1,개별여행,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,3,96,18,17,2,자연경관감상,2,9, , ,10,18, ,849.501,465.48,384.021
568,181,1,1,3,8,프랑스,10,1,12,4,6,3,9,7, , , ,혼자,1,개별여행,121,4,5,4,4,4,4,5,4,5,4,4,5,5,5,5,1, ,8,9, , , , ,14, , , ,2, , , , , , ,1, ,3,4, ,6, , , , ,104,46,74,14,18,2,자연경관감상,2,2,9, ,1,16, ,5350.05,0.0,5350.05
