,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
744,770,2,1,1,3,러시아,16,1,1,2, , ,2,5, , , ,혼자,1,개별여행,30,2,5,3,5,5,4,2,2,1,1,4,3,1,1,1, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,136,129,135,1, , ,쇼핑,4,9, , ,4, , ,628.02,0.0,628.02
745,783,1,3,3,3,러시아, ,1,1,3,4,8,3,6, , , ,직장동료,2,개별여행,7,5,5,5,5,3,9,2,4,4,4,4,4,4,4,4,1, , , , , , , , , , ,7,2, , , , , , ,1, , , , ,6, , , , ,1,3, ,4,2,17,업무수행,1,12, , ,21, , ,326.0,277.1,48.9
761,724,1,2,2,3,러시아,15,2,4,2, , ,7,6, , , ,혼자,1,개별여행,10,4,5,5,4,4,4,4,5,5,4,5,4,5,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,8, ,16,1, ,업무수행,1,2,3,5,5,8,9,1500.0,0.0,1500.0
784,516,1,4,2,7,러시아, ,2,6,3, , ,8,1,1,2,3,가족/친지,4,개별여행,15,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,101,97,4,18,20,휴양/휴식,1,3,7,10,5,10,11,1348.9485,613.1583788,735.7900546
787,669,1,1,2,2,러시아, ,21,8,7, , ,1,1,17, , ,직장동료,2,개별여행,1,5,3,5,9,5,5,5,5,5,5,5,4,5,4,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,2,1,4,1,17, ,고궁/역사유적지방문, ,1, , ,5,11, ,200.0,0.0,200.0
805,758,1,2,2,7,러시아, ,1,1,7,3, ,4,1,4,6,2,가족/친지,4,개별여행,2,5,4,5,5,5,5,4,4,3,3,4,4,4,4,4, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,136, , ,1,2, ,쇼핑,1,10, , ,4,5,16,1270.0,0.0,1270.0
812,819,1,2,2, ,러시아, ,1,5,3,5,2,3,1,4,2,8,친구/연인,2,개별여행,6,5,5,5,4,5,4,4,4,4,4,5,4,5,3,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,6,3,1,3,18,식도락,2,1,4,7,4,5,15,1102.5,227.5,875.0
826,402,2,3,2,1,러시아, ,5,10,5,3,7,3,1,3,16,11,가족/친지,3,개별여행,6,5,5,5,4,4,4,5,5,3,3,5,5,5,4,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,96,5,17,4,1,전통문화체험,1,1,7,8,4,5,11,500.0,0.0,500.0
832,750,1,2,3,7,러시아, ,3,1,1,2,7,2,1,10,9,16,가족/친지,7,개별여행,4,5,4,5,5,5,5,5,5,4,5,5,4,5,4,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,5,24, ,4,1,2,휴양/휴식,1,1,2, ,4,5,8,2100.0,1600.0,500.0
881,859,2,2,2,2,러시아,6,1,9,3,5,8,3,1,5,2,4,가족/친지,2,개별여행,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,10,5,7,1,9,5,테마파크,1,1,7, ,3,4,5,600.0,100.0,500.0
893,1055,1,3,1,5,러시아, ,1,1,3,1, ,2,1, , , ,혼자,1,개별여행,1,4,3,3,9,4,4,4,4,3,3,4,4,3,4,4, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,24, , ,1,22, ,쇼핑, ,1,9, ,8,9, ,10.0,0.0,10.0
922,151,1,2,2,3,러시아, ,2,7,3,2,7,7,1,3,4,1,가족/친지,2,개별여행,3,5,5,5,5,5,5,5,5,5,5,5,4,5,1,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,17,2,9,2,1,11,고궁/역사유적지방문,1,10, , ,4, , ,341.99434,0.0,341.99434
941,406,2,0,2,8,러시아, ,2,10,2,3,6,5,5, , , ,친구/연인,2,개별여행,91,5,5,5,4,5,9,5,4,4,4,5,4,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,14,28,20,7,2,20,유흥.오락,1,12, , ,21, , ,2800.0,1400.0,1400.0
945,331,2,2,3,2,러시아, ,2,11,3,6,2,3,1,1,3,11,혼자,1,개별여행,13,5,5,5,5,4,5,5,5,5,3,5,4,4,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,1,96,98,22,17,18,전통문화체험,2,1,6,7,5,10,11,900.0,900.0,0.0
956,185,1,1,2,5,러시아, ,1,12,2,3,1,3,5, , , ,가족/친지,2,개별여행,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,11,1,6,17,18,1,고궁/역사유적지방문,4,4,5,10,3,4,5,3500.0,0.0,3500.0
960,753,1,3,1,6,러시아, ,2,1,2,3,1,6,1,3,16,1,친구/연인,2,개별여행,30,5,3,4,4,4,4,5,4,3,3,5,4,5,5,5,1, , , ,6, , ,17, , , , ,2, , , , , , ,1, , , ,5,6, , , , ,100,5,8,4,18,20,연수/교육/연구,2,1,10, ,3,5,11,1218.353274,0.0,1218.353274
980,820,1,3,2,2,러시아,1,3,5,9, , ,1,6, , , ,혼자,1,개별여행,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16,7, ,유흥.오락,1,10, , ,11, , ,220.0,220.0,0.0
981,832,2,1,1,4,러시아,5,4,5,2,3,5,3,1,11,6,7,친구/연인,2,개별여행,60,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,46,45,8,1,7,18,자연경관감상,1,1,5,10,4,5,12,900.0,900.0,0.0
