,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
636,1080,1,1,2,8,중국, ,1,12,4,3,2,6,7, , , ,혼자,1,개별여행,8,5,5,5,5,4,5,5,5,4,3,5,4,4,5,4,1, , , , , , , , , , , , , , , ,16, , ,1, , , , , , ,8, , ,14,5,128,14,16,1,연수/교육/연구,1,2,7,10,5,10,12,453.9,302.6,151.3
653,228,2,1,2,1,중국,19,1,1,1,2,3,1,1,5,2,7,가족/친지,3,단체여행,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,8, ,1,2, ,쇼핑,1,5,7, ,3,5,7,573.2,0.0,573.2
654,232,2,1,2,1,중국,19,1,1,1,3,2,1,4,9,2,10,가족/친지,3,단체여행,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,5, ,1,2, ,식도락,1,5,7, ,3,5,10,429.9,0.0,429.9
674,1114,1,3,2,7,중국, ,1,8,2, , ,2,1,1,3, ,가족/친지,3,개별여행,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,129,125,124,1,7,9,테마파크,1,3,10, ,3,5,10,1605.96,416.36,1189.6
675,1116,1,1,2,6,중국, ,11,8,7,4,2,3,6, , , ,혼자,1,개별여행,11,5,5,5,4,5,4,3,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,124,125,130,1,4,21,쇼핑,3,2, , ,5,7,12,2494.202074,0.0,2494.202074
740,1121,1,1,2,12,중국, ,5,11,3,2,4,1,4,7,4,2,혼자,1,개별여행,3,5,5,4,4,5,5,5,5,3,4,4,4,4,4,5, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,134,127, ,1,2,7,쇼핑,1,2,3, ,5,10,16,2314.89,2269.5,45.39
772,1023,1,1,2,3,중국, ,1,5,8, , ,2,6, , , ,직장동료,2,개별여행,8,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,1, , , , , ,11, , , , , , , , , , , , ,1, , , ,5, , , , , ,67,5, ,16,1, ,업무수행,1,7, , ,1,5, ,725.5,0.0,725.5
791,283,2,1,2,8,중국, ,1,1,2,3,4,1,1,4,7,2,친구/연인,5,개별여행,8,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,5,4,97,2,7,1,쇼핑,2,1,2, ,4,5,10,731.9764,503.6995,228.2769
795,1115,1,1,2,12,중국, ,6,8,5,2,4,1,1,1,4,2,혼자,1,개별여행,3,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,136,124, ,1,2,7,식도락,1,2, , ,5,12,16,10780.75,10513.09,267.66
799,211,2,0,1,8,중국, ,1,1,2,8, ,1,2,14,4,16,혼자,1,개별여행,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,19, ,6,1,7,쇼핑,1,5,7, ,4,5, ,4789.6592,60.7592,4728.9
