,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
341,211,1,2,2,3,호주, ,20,7,3,2, ,72,6, , , ,혼자,1,개별여행,21,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4, , , , , , , , , ,15, , ,2, , , , , , , , , , , ,6, , , , ,79,96, ,1,16,17,쇼핑,3,3,9, ,6,10,12,1570.3,0.0,1570.3
344,94,1,2,3,2,호주, ,20,8,9, , ,1,6, , , ,혼자,1,개별여행,3,3,3,3,3,3,9,3,3,3,3,3,3,3,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,16, , ,업무수행,1,12, , ,21, , ,850.0,400.0,450.0
357,626,1,4,2,2,호주, ,3,3,2, , ,2,6, , , ,혼자,1,개별여행,2,4,3,3,5,5,9,4,4,4,5,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,11, , ,16, , ,업무수행,1,12, , ,21, , ,342.0,342.0,0.0
367,360,1,4,2,2,호주, ,2,6,2,3, ,3,6, , , ,혼자,1,개별여행,7,4,4,4,4,5,4,4,4,3,4,4,4,5,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,4,6,1,16,17,1,업무수행,5,4, , ,5, , ,177.336,177.336,0.0
375,767,1,2,2,5,호주, ,1,8,3, , ,6,1,10,3, ,가족/친지,3,개별여행,3,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,6,2,1,17,18,식도락,1,3,4, ,4, , ,676.855,676.855,0.0
376,941,2,1,2,7,호주, ,2,8,2, , ,3,4,2, , ,친구/연인,2,개별여행,10,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,14,20,1, , ,쇼핑,1,2,7, ,1,5, ,5812.99,4777.8,1035.19
378,484,1,1,2,5,호주, ,1,10,3,4,5,6,1,2,4,3,가족/친지,4,개별여행,7,5,4,4,5,5,4,4,3,4,4,4,4,5,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,2,14,1,2,9,식도락,1,3,7,9,4,14,18,1551.33053,0.0,1551.33053
380,656,2,4,2,9,호주, ,1,10,2, , ,3,5, , , ,가족/친지,2,개별여행,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,4,13,1,2,7,쇼핑,4,1, , ,4,5, ,476.222,0.0,476.222
388,635,2,1,2,8,호주,3,1,11,3,5,4,6,1,3,16,4,가족/친지,3,개별여행,7,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,8,17,1,20,17,쇼핑,1,7,8,11,3,4,5,1213.598,599.118,614.48
392,515,2,1,2,5,호주, ,3,12,2,3,5,3,1,7,6,3,친구/연인,9,개별여행,8,4,4,4,3,3,3,4,4,3,2,3,4,4,3,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,13,2,16,11,7,22,전통문화체험,2,3,6,9,4,6,14,2750.0,2000.0,750.0
