,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
9666,184,1,5,2,2,인도네시아, ,1,9,3, , ,1,6, , , ,혼자,1,개별여행,4,5,5,5,5,5,4,4,4,3,4,5,4,5,5,5,1, , , , , , , , ,15, , ,2, , , , , , ,1, , , , ,6, , , , ,96,8,136,16,1, ,업무수행,1,9, , ,18, , ,550.0,550.0,0.0
9667,185,2,2,2,5,인도네시아, ,1,9,5,3,4,8,1,2,6,1,친구/연인,5,개별여행,8,4,4,4,4,3,5,4,4,3,4,4,4,4,3,4,1, , , , , , , , , , , ,2, , , ,16, , ,1, , , , ,6, ,8, , ,97,133,3,1,18,19,자연경관감상,1,1,6,7,5,6, ,2550.0,2000.0,550.0
9785,316,2,1,2,2,인도네시아, ,2,9,3,2,5,6,1,7,4,3,친구/연인,2,개별여행,10,4,4,3,4,4,4,4,3,2,4,4,4,4,4,4,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,98,1,3,1,2,17,식도락,1,1,2,3,4,5,9,2400.0,0.0,2400.0
9799,330,1,1,2,2,인도네시아, ,1,9,3,2, ,1,6, , , ,직장동료,2,개별여행,90,4,4,4,4,2,5,4,4,4,3,4,4,5,5,5,1,4, , , , , , , , ,3,7,2, , , , , , ,1,2, , , ,6, , , , ,19,9,10,17,20,1,고궁/역사유적지방문,1,1,3,10,4,5,16,1447.24147,1447.24147,0.0
9800,331,1,1,3,5,인도네시아, ,2,9,3,1,2,2,6, , , ,혼자,1,개별여행,35,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,5,7,4,19,15,17,공연/민속행사/축제참가관람,2,4,7,10,4,6,16,710.4639944,0.0,710.4639944
9811,342,1,1,2,8,인도네시아, ,1,9,3,1,2,5,1,1,2,13,친구/연인,2,개별여행,8,4,5,4,4,3,4,5,5,4,4,4,3,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,9,14,17,18,1,자연경관감상,2,6,7,8,4,5,19,627.1379704,0.0,627.1379704
9812,343,1,3,2,5,인도네시아, ,1,9,3,5,2,2,1,2,3,11,가족/친지,2,개별여행,5,5,5,5,4,3,5,5,4,3,2,5,4,5,5,5,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,3,8,16,1,18,17,자연경관감상,2,5,7,8,4,5,19,3000.0,1000.0,2000.0
9813,344,2,1,2,7,인도네시아, ,1,9,2, , ,3,6, , , ,직장동료,3,개별여행,3,4,3,4,4,4,4,3,3,3,3,4,3,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,1,7,33,16,1,17,고궁/역사유적지방문,1,10, , ,4,5, ,328.0413999,0.0,328.0413999
9837,372,2,0,2,8,인도네시아, ,1,9,3, , ,6,1,1,7,4,가족/친지,5,개별여행,6,4,2,4,4,5,5,5,5,4,3,5,5,5,5,5,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,48,28,5,17,9,1,테마파크,1,1,5,7,4,5, ,1096.395053,0.0,1096.395053
9838,373,2,2,2,11,인도네시아, ,6,9,5, , ,5,1,3,1,11,가족/친지,2,개별여행,6,5,3,5,5,5,5,5,4,3,3,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,13,17,12,17,7,1,고궁/역사유적지방문,1,3,7,8,4,5,10,65.325,0.0,65.325
