,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
963,1295,2,3,2,2,싱가포르, ,10,1,9, , ,2,6, , , ,혼자,1,개별여행,14,5,5,4,4,4,4,4,3,3,3,5,4,4,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,4,22, ,16,1,4,쇼핑,1,1,2,3,1,5,9,1550.925,1033.95,516.975
1110,527,2,2,2,2,싱가포르, ,1,8,3,2, ,1,6, , , ,혼자,1,개별여행,5,3,5,3,3,5,4,4,4,2,4,5,3,3,5,2, ,4, , , , , , , , , , , , , , , , , , ,2, , , , , , , , ,136, , ,15,16,13,업무수행,1,3,9, ,11, , ,323.8086903,323.8086903,0.0
1113,83,2,2,2,2,싱가포르, ,1,9,5,3,2,6,1,1,2,9,친구/연인,2,개별여행,6,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,48,4,5,1,18,9,쇼핑,1,3,6,7,1,4,5,995.49,258.09,737.4
1168,253,2,3,3,2,싱가포르,2,4,2,2,3,4,3,6, , , ,직장동료,3,개별여행,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7, , ,16,15,1,쇼핑,1,9, , ,5, , ,1000.0,900.0,100.0
1181,202,1,2,2,2,싱가포르, ,20,3,9, , ,2,6, , , ,혼자,1,개별여행,3,5,5,5,5,5,9,5,5,4,4,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16, , ,업무수행,1,12, , ,21, , ,779.46,708.6,70.86
1195,74,2,2,2,2,싱가포르, ,7,5,3,2, ,3,6, , , ,혼자,1,개별여행,6,5,5,4,4,4,9,4,5,5,4,4,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,15,16,2,업무수행,1,12, , ,21, , ,788.15,788.15,0.0
1204,466,1,4,2,2,싱가포르, ,4,5,3,4,7,1,1,2,3,16,혼자,1,개별여행,4,3,3,2,3,3,4,4,4,3,4,4,3,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,3,5,1,17,22,쇼핑,1,5,7,8,5, , ,1000.0,300.0,700.0
1240,84,1,2,3,2,싱가포르, ,1,9,2,4,8,1,1,12,1,9,직장동료,3,개별여행,15,5,5,5,5,4,5,5,5,3,4,5,5,5,5,5,1,4,8, , , , , , ,15, , , , , , , , , ,1,2,3, , ,6, , , , ,82,1,16,14,21,17,고궁/역사유적지방문,1,4,7,10,5,17,19,2580.9,2212.2,368.7
1266,838,2,1,3,5,싱가포르, ,1,11,2,3,4,3,4,2,4,8,가족/친지,3,개별여행,5,4,4,4,4,4,4,3,3,3,3,3,3,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,6,20,1,17,22,전통문화체험,1,3,4,10,3,4,6,2131.79,661.59,1470.2
1311,369,1,4,2,2,싱가포르, ,50,2,9, , ,1,6, , , ,혼자,1,개별여행,2,4,1,4,3,4,9,3,3,3,4,4,3,3,4,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,15, , ,미팅/회의/학술대회/박람회참가,1,12, , ,21, , ,120.0,0.0,120.0
1586,10,2,2,3,1,싱가포르, ,1,12,5,3,2,1,1,2,4,8,혼자,1,개별여행,4,4,4,3,4,4,4,4,4,2,4,4,3,3,4,4,1, , ,9, , , , , , , , , , , , , , , ,1, , ,4, , , , , , ,48,6,9,1,4,18,자연경관감상,1,1,9, ,5,10, ,890.64,0.0,890.64
1589,166,2,2,3,2,싱가포르, ,1,12,3,4,8,6,1,3,2,4,가족/친지,4,개별여행,9,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,28,5,1,9,1,17,테마파크,1,4,5,7,3,5,15,1781.28,1039.08,742.2
2187,939,1,2,3,3,싱가포르, ,5,1,3,2,5,2,1,13,4,2,가족/친지,2,개별여행,6,5,4,4,4,4,5,4,4,4,4,4,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,5,18,1,4,2,쇼핑,1,7,11, ,4,5,6,758.23,206.79,551.44
2194,948,1,3,2,2,싱가포르, ,2,1,3, , ,1,1,2, , ,가족/친지,2,개별여행,4,5,5,5,5,4,5,5,4,4,4,5,4,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,9,6,1,2, ,쇼핑,1,4,7, ,3,4,18,772.016,758.23,13.786
2197,953,1,3,2,2,싱가포르, ,5,1,5,2,8,1,6, , , ,혼자,1,개별여행,4,5,5,5,5,5,5,5,4,3,4,5,5,5,5,5, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,96, , ,15,18,8,미팅/회의/학술대회/박람회참가,1,9,10, ,16,18, ,1516.46,689.3,827.16
2203,965,1,2,3,3,싱가포르, ,3,1,2, , ,1,6, , , ,직장동료,3,개별여행,4,4,4,4,5,5,9,5,5,4,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,20, , ,16,2,7,유흥.오락,1,12, , ,21, , ,723.765,551.44,172.325
2211,977,1,3,3,2,싱가포르, ,2,1,3,2, ,6,6, , , ,혼자,1,개별여행,7,5,5,4,5,5,5,4,4,4,5,5,4,4,5,5, , ,8, , , , , , , , , , , , , , , , , , ,3, , , , , , , ,136, , ,14,16,1,쇼핑,1,3, , ,4,8, ,965.02,413.58,551.44
2217,998,1,4, ,2,싱가포르, ,15,1,9, , ,4,6, , , ,혼자,1,개별여행,9,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,21,1,5,21,18,1,자연경관감상,1,7, , ,2, , ,783.8072728,649.7884126,134.0188601
2221,1003,1,3,3,2,싱가포르, ,6,1,2, , ,1,6, , , ,혼자,1,개별여행,4,4,5,5,5,4,4,5,5,4,5,5,4,4,4,4, , , , ,6, , , , , , , , , , , , , , , , , , ,5, , , , , ,58, , ,16,3,4,온천/스파,1,1, , ,16, , ,1750.367537,1624.471032,125.896505
2229,1014,1,4,3,5,싱가포르, ,5,1,1,3,2,2,1,2,1,8,가족/친지,7,개별여행,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,14,20,5,1,3,9,테마파크,1,5,7, ,3,5,13,5376.54,2757.2,2619.34
2239,1027,1,2,2,2,싱가포르, ,1,1,1,2,4,6,1,1,2,3,가족/친지,2,단체여행,9,3,4,4,4,4,4,4,4,4,4,4,5,3,2,3,1, , ,9, , , , , , , , , , , , ,16, , ,1, , ,4, , , ,8, , ,49,125,8,10,4,17,고궁/역사유적지방문,1,1,7, ,6,8, ,1723.25,1171.81,551.44
2254,1049,1,1,2,8,싱가포르, ,2,1,5,3, ,12,1,13,3,4,친구/연인,4,개별여행,16,5,4,5,5,5,4,5,4,3,4,5,5,5,5,5,1, , ,9, , , , , , , , ,2, , , , , , ,1, , ,4, ,6, , , , ,136,99,5,11,17,18,식도락,2,3,4,7,3,4,19,3501.644,2067.9,1433.744
2257,1052,1,1,2,2,싱가포르, ,4,1,3,4,8,1,1,13,4,12,혼자,1,개별여행,5,5,5,5,5,4,5,4,5,4,2,4,4,4,4,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,14,18,1,19, ,공연/민속행사/축제참가관람,2,2,7,10,5,10,19,1045.347109,1004.735333,40.61177579
2268,1069,1,2,2,2,싱가포르, ,6,1,3,6, ,1,6, , , ,혼자,1,개별여행,14,5,5,5,5,4,5,5,5,2,5,5,5,5,5,5, , , , , , , , , , , , , , , ,13, , , , , , , , , ,7, , , ,114, , ,16,17,18,고궁/역사유적지방문,1,1,3, ,4,5,15,1800.0,1200.0,600.0
2272,1073,1,3,3,2,싱가포르, ,30,1,2,7,3,1,6, , , ,혼자,1,개별여행,3,5,5,5,5,5,4,4,4,3,3,4,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,19,18,20,16,7,10,업무수행,1,1, , ,11, , ,1102.88,689.3,413.58
