,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
1369,49,2,2,1,4,대만, ,3,4,3,6, ,6,1,2,3,4,가족/친지,3,개별여행,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,4,1,14,20,1,2,박물관/전시관방문,2,7,9,10,5,9,10,987.0,658.0,329.0
1398,1728,2,2,1,4,대만, ,3,4,2,3,7,2,1,7,2,16,직장동료,21,단체여행,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4, , , , , , , , , , , , ,2, , , , , , , , , , , ,6, , , , ,96,99,98,1,2,18,쇼핑,1,3,10, ,3,5,7,2153.7325,879.0745104,1274.65804
1464,1728,2,3,2,3,대만, ,2,6,3,2,1,3,1,12,4,7,가족/친지,3,개별여행,7,5,5,5,4,4,5,5,4,4,4,5,5,4,5,5, , , , , , , , , , ,3, ,2, , , ,16, , , , , , , ,6, ,8, , ,128,130,96,17,18,1,고궁/역사유적지방문,1,1,9, ,4,5,18,2174.6,830.0,1344.6
1484,1721,2,2,2,4,대만, ,2,7,3,1,2,4,1,1,9,7,친구/연인,2,개별여행,4,5,4,4,5,5,5,5,4,4,5,5,5,4,5,4,1, , , , , , , , , ,3, , , , , , , , ,1, , , , ,6, , , , ,17,18,92,1,2,7,쇼핑,2,1,4,9,1,6,13,826.56,328.0,498.56
1501,660,2,3,2,3,대만, ,1,8,6,1,3,3,1,11,9,2,가족/친지,3,개별여행,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,4,5,8,1,2,17,쇼핑,1,5,7,10,8,9, ,825.0,495.0,330.0
1511,1031,2,1,2,3,대만, ,4,8,1,3,2,3,4,2,4,7,친구/연인,2,개별여행,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,7,14,5,1,2,19,공연/민속행사/축제참가관람,1,2,4,7,4,5,10,871.2,858.0,13.2
1542,148,2,1,2,4,대만, ,1,10,3,2,1,4,1,2,7,4,친구/연인,2,에어텔여행,5,3,4,3,2,4,4,3,3,3,3,4,5,3,2,3,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,17,14,8,1,2,3,쇼핑,1,1,2,7,3,4, ,854.9946673,0.0,854.9946673
1558,1385,2,2,2,3,대만, ,1,10,3,4,2,2,1,8,2,5,가족/친지,4,개별여행,5,5,4,5,5,5,4,4,4,5,5,5,5,4,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,97,1,3,17,2,18,자연경관감상,1,7,9, ,1,4,10,956.59,463.4,493.19
1585,1334,2,1,2,3,대만, ,1,11,3,4,1,3,1,11,12,3,친구/연인,2,개별여행,4,4,5,5,4,4,4,5,5,4,4,4,4,5,5,5, , , , , , , , , , , ,7,2, , , , , , , , , , , ,6, , , , ,96,104,95,21,18,2,시티투어버스이용,2,9, , ,15,18, ,407.13,132.4,274.73
1588,91,2,1,1,12,대만, ,9,12,1, , ,3,1,2,4,8,친구/연인,4,개별여행,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,8,5,14,1,2,4,쇼핑,1,4,5,7,4,5,10,2664.0,1665.0,999.0
1687,84,2,2,2,9,대만, ,1,1,2,5, ,2,1,1,2, ,가족/친지,4,개별여행,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,124,130, ,1,22,18,쇼핑,1,2, , ,5,8,10,458.9130664,324.8942063,134.0188601
1688,85,1,3,2,5,대만, ,1,1,2,5,4,4,1,1,3,12,가족/친지,3,단체여행,5,4,4,4,5,4,4,5,4,4,4,5,4,4,3,4, , , , , , , , , , , , , , , , ,16, , , , , , , , , ,8, , ,130,125,133,1,2,18,자연경관감상,1,2,9,10,5,8,10,2626.5,2163.0,463.5
1703,100,1,0,1,8,대만, ,1,1,2,3,1,6,1,16,4,5,가족/친지,8,단체여행,7,5,4,5,5,5,5,5,4,4,4,5,4,4,4,4,1,4,8,9, , , , , , , , , , , , , , , ,1,2,3,4, , , , , , ,49,13,10,2,1,18,식도락,1,2,5, ,5,8,10,741.6,679.8,61.8
1726,124,1,3,2,7,대만, ,1,1,1,2,7,2,1,3,7,1,가족/친지,9,단체여행,5,4,5,4,5,4,5,4,4,4,3,4,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,10,5,2,1,17,식도락,1,1,5,7,5,8, ,3090.0,1854.0,1236.0
1729,127,1,1,2,4,대만, ,1,1,3,1, ,1,1,5,2,8,가족/친지,2,단체여행,4,4,4,4,5,3,5,4,5,4,3,5,4,4,3,4,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,42,8,5,1,10,7,스포츠활동,1,2,3,5,5,9,10,1205.1,0.0,1205.1
1730,128,1,1,2,5,대만, ,1,1,1,3,2,2,1,10,3,9,혼자,1,단체여행,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,10,5,42,1,3,2,식도락,1,1,7,10,4,5,9,1205.1,463.5,741.6
1731,129,1,1,2,5,대만,1,1,1,1, , ,3,1,10,2,6,가족/친지,3,단체여행,4,4,5,5,5,3,4,3,5,5,4,5,3,4,4,4,1,4,8,9, , , , , , , , , , , , , , , ,1,2,3,4, , , , , , ,4,5,6,1,19,10,공연/민속행사/축제참가관람,1,4,7,10,5,8,10,1730.4,1236.0,494.4
1732,130,1,1,2,8,대만,2,1,1,3,2,1,2,1,8,9,3,가족/친지,2,단체여행,5,5,5,4,5,5,5,5,5,4,3,5,3,4,4,5,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,48,16,42,2,1,18,식도락,1,2, , ,4,8,9,3584.4,3090.0,494.4
1740,138,1,3,2,4,대만,1,1,1,1,2,6,3,1,1,3,4,가족/친지,2,단체여행,5,4,4,4,5,5,4,4,4,4,4,5,4,4,4,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,1,5,22,9,20,17,고궁/역사유적지방문,1,1,2,3,8,9,10,2599.153651,0.0,2599.153651
1760,158,2,1,1,2,대만, ,2,1,2,3,6,3,1,2,4,12,가족/친지,3,개별여행,7,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1,4,8,1,2,20,쇼핑,2,2,3,7,4,5,10,896.1,247.2,648.9
1761,159,2,3,2,2,대만, ,1,1,3,1,4,3,1,1,2,7,가족/친지,14,단체여행,7,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,42,10,16,10,8,1,스포츠활동,1,1,3,5,4,5,8,1606.8,679.8,927.0
1766,164,2,2,2,9,대만, ,1,1,2,4,1,1,1,7,2,6,가족/친지,8,단체여행,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,8,9, , , , , , , , , , , , , , , ,1,2,3,4, , , , , , ,136,42,10,1,9,17,스포츠활동,2,2,7,10,8,15, ,2595.6,1854.0,741.6
1767,165,2,3,1,9,대만, ,2,1,5, , ,1,1,1,7,2,가족/친지,7,단체여행,6,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,136,48,5,1,19,18,공연/민속행사/축제참가관람,1,2,7,10,4,5,10,1174.2,618.0,556.2
1768,166,2,1,2,11,대만, ,3,1,3,2,1,12,7, , , ,혼자,1,개별여행,305,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,1,4,8,9, ,10,11, , , , , ,2, , , , , , ,1,2,3,4,5,6, , , , ,53,37, ,18,19,2,자연경관감상,2,9,10,11,10,13,14,4820.4,494.4,4326.0
1769,167,2,0,2,8,대만, ,4,1,3,2,8,2,1,8,5,4,가족/친지,2,개별여행,10,4,4,5,3,4,4,4,5,5,4,4,4,5,5,5,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,8,13,24,2,1,18,스포츠활동,2,5,7,10,3,4,5,1575.9,247.2,1328.7
1777,176,2,1,2,5,대만, ,1,1,2,6,1,3,1,3,4,1,가족/친지,2,단체여행,5,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,1,4, , , , , , , , , , , , , , , , , ,1,2, , , , , , , , ,1,5,22,17,20,9,고궁/역사유적지방문,1,1,2,3,8,9,10,2599.153651,0.0,2599.153651
