,id,gender,age,edu,job,nat,other,count,month,info1,info2,info3,decision,object,mov1,mov2,mov3,member,number,tourtype,period,overal,sat1,sat2,sat3,sat4,sat5,sat6,sat7,sat8,sat9,sat10,bf_img,af_img,revisit,recom,district1,district2,district3,district4,district5,district6,district7,district8,district9,district10,district11,district12,district13,district14,district15,district16,district17,district18,district19,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,bestspot1,bestspot2,bestspot3,act1,act2,act3,bestact,accom,shop1,shop2,shop3,prd1,prd2,prd3,expense,card,cash
657,76,2,1,3,4,말레이시아, ,1,2,3,4,2,6,1,1,4,3,친구/연인,8,개별여행,5,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,4,1,8,9,1,18,테마파크,2,7,8,10,5,6, ,556.7531784,0.0,556.7531784
658,428,1,4,1,2,말레이시아, ,1,2,3,2,4,4,1,8,16,3,가족/친지,8,개별여행,5,4,4,4,3,3,3,4,4,3,3,3,4,4,4,4,1, ,8, , , , , , , , , , , , , , , , ,1, ,3, , , , , , , ,28,4,42,10,9,18,스포츠활동,2,7, , ,18, , ,557.25,0.0,557.25
665,782,2,1,2,8,말레이시아, ,4,4,3,5,2,3,6, , , ,혼자,1,개별여행,65,4,5,5,5,3,4,3,3,2,2,5,3,4,5,5,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,5,1,15,9,7,1,테마파크,4,7,9,10,4,10,14,879.0745,0.0,879.0745104
667,108,1,2,3,4,말레이시아,1,1,6,3,5, ,1,1,13,4,3,혼자,1,개별여행,4,5,5,5,5,5,5,5,5,1,1,5,3,4,5,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,9,12,16,18,1,16,쇼핑,2,4,5,6,4, , ,1007.3316,0.0,1007.331622
670,752,2,1,2,1,말레이시아,1,1,7,3,2,7,9,1,16,1,3,가족/친지,3,개별여행,10,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,1,4,8, , , , , , , , , , , , , ,16, , ,1,2,3, , , , ,8, , ,124,1,31,18,21,1,자연경관감상,2,5,7,9,6,18, ,1538.97453,0.0,1538.97453
677,439,2,3,1,11,말레이시아,18,1,10,1,3, ,3,1,3,1,7,가족/친지,2,단체여행,5,5,4,4,5,5,5,5,5,4,4,4,4,5,5,5,1, ,8,9, , , , , , , , , , , , , , , ,1, ,3,4, , , , , , ,48,28,4,1,4,9,테마파크,1,4,5,7,2,5,6,1181.5,0.0,1181.5
752,1087,1,1,2,8,말레이시아,13,2,1,3,2,4,1,1,1,3,7,가족/친지,5,개별여행,6,4,5,4,4,3,5,5,2,4,3,4,3,2,4,3,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,96,100,9,1,7,18,스포츠활동,2,5,9,11,1,3,7,445.8,0.0,445.8
754,389,2,1,2,2,말레이시아,1,1,3,2,3,1,3,1,2,1,3,가족/친지,5,단체여행,6,4,4,5,5,4,5,5,5,5,4,5,4,5,4,4,1,4,8, , , , , , , , , , , , , , , , ,1,2,3, , , , , , , ,28,10,32,1,18,17,쇼핑,1,5,6,7,1,4,5,606.96,449.6,157.36
762,115,2,1,2,8,말레이시아, ,1,6,2,5,3,8,7, , , ,친구/연인,4,개별여행,21,3,4,5,5,4,4,4,5,3,4,5,4,4,4,4,1, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,12,13,9,11,7,14,레포츠활동,5,4,6,7,3,4,14,481.7673,175.1881082,306.5791894
797,696,2,1,2,8,말레이시아, ,2,11,6,3,2,13,1,4,2,8,가족/친지,2,개별여행,19,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,1, , , , , , , , , , , ,2, , , , , , ,1, , , , ,6, , , , ,14,98,102,2,18,1,식도락,2,7,9,10,5,10,19,354.45,118.15,236.3
